"fecha","folio","nombre","cantidad","costo","descuento","impuestos","total","surtidos","clave","nombre_comercial"
2024-04-05,25,INTERRUPTORES TERMOMAGNÉTICOS 1 X10,2.0000,180.8700,0.0000,57.8800,419.6200,0.00,"562949960850953",COCOPESA DE LA RIVIERA SA DE CV
2024-04-05,25,INTERRUPTORES TERMOMANÉGTICA 1 X 30,1.0000,180.8700,0.0000,28.9400,209.8100,0.00,"562949960850953",COCOPESA DE LA RIVIERA SA DE CV
2024-04-05,25,INTERRUPTORES TERMOMAGNÉTICOS 2 X20,1.0000,607.4200,0.0000,97.1900,704.6100,0.00,"562949960850953",COCOPESA DE LA RIVIERA SA DE CV
2024-04-05,25,INTERRUPTORES TERMOMAGNÉTICOS 2 X50,1.0000,607.4200,0.0000,97.1900,704.6100,0.00,"562949960850953",COCOPESA DE LA RIVIERA SA DE CV
2024-06-27,483,MOTOBOMBA AQUPAK 1.5HP MOD. SILVER DE 115V,1.0000,2920.6900,0.0000,467.3104,3388.0004,0.00,"562949962363306",AQUAPISCINA Y SERVICIOS SA DE CV
2024-07-01,503,CABLE DE USO RUDO 3X10,25.0000,78.9100,0.0000,315.6400,2288.3900,0.00,PROV1062,FERRETERA DELFIN SA DE CV
2024-07-01,503,"TUBERIA FLEXIBLE DE COBRE 1/2"" ",1.0000,1486.5100,0.0000,237.8416,1724.3516,0.00,PROV1062,FERRETERA DELFIN SA DE CV
2024-07-01,503,CINTA MOMIA MOD: CXCIDE,5.0000,34.4820,0.0000,27.5856,199.9956,0.00,PROV1062,FERRETERA DELFIN SA DE CV
2024-07-01,503,"TUBERIA FLEXIBLE DE COBRE 1/4""",3.0000,646.1700,0.0000,310.1616,2248.6716,0.00,PROV1062,FERRETERA DELFIN SA DE CV
2024-07-04,517,SERVICIO DE ALIMENTOS,1.0000,8037.4482,0.0000,1285.9917,9323.4399,0.00,PROV1020,MARIA GUADALUPE LIZAMA ARGAEZ
2024-07-04,518,SERVICIO DE ALIMENTOS,1.0000,8078.0000,0.0000,1292.4800,9370.4800,0.00,PROV1020,MARIA GUADALUPE LIZAMA ARGAEZ
2024-07-04,520,SERVICIO DE ALIMENTOS,1.0000,7280.6896,0.0000,1164.9103,8445.5999,0.00,PROV1020,MARIA GUADALUPE LIZAMA ARGAEZ
2024-07-05,530,PUERTA SOLIDA 75X235CM,4.0000,8775.3500,0.0000,5616.2240,40717.6240,0.00,PROV1105,BIMCA Y ASOCIADOS SA DE CV
2024-07-05,530,PUERTA SOLIDA 95X235CM,4.0000,8876.3800,0.0000,5680.8832,41186.4032,0.00,PROV1105,BIMCA Y ASOCIADOS SA DE CV
2024-04-05,28,INTERRUPTORES TERMOMAGNÉTICOS 1 X20,1.0000,180.8700,5.4261,28.9400,204.3800,0.00,"562949960850953",COCOPESA DE LA RIVIERA SA DE CV
2024-04-05,28,INTERRUPTORES TERMOMAGNÉTICOS 1 X10,2.0000,180.8700,5.4261,57.8800,414.1900,0.00,"562949960850953",COCOPESA DE LA RIVIERA SA DE CV
2024-04-05,28,INTERRUPTORES TERMOMANÉGTICA 1 X 30,1.0000,180.8700,5.4261,28.9400,204.3800,0.00,"562949960850953",COCOPESA DE LA RIVIERA SA DE CV
2024-04-05,23,CALIBRE 10 COLOR NEGRO,50.0000,11.3800,0.0000,91.0400,660.0400,50.00,"562949960680730",Grupo BOXITO SA de CV
2024-04-04,20,"COPLE CPVC 1 """,4.0000,5.0000,0.0000,3.2000,23.2000,4.00,"562949960680741","Ramón Arturo Méndez Gomez ""El Unicornio"""
2024-04-04,20,"VALVULA CHECK TIPO COLUMPIO DE 1"" ",1.0000,210.0000,0.0000,33.6000,243.6000,1.00,"562949960680741","Ramón Arturo Méndez Gomez ""El Unicornio"""
2024-04-04,20,"TUERCA UNIÓN 1"" CPVC ",2.0000,25.0000,0.0000,8.0000,58.0000,2.00,"562949960680741","Ramón Arturo Méndez Gomez ""El Unicornio"""
2024-04-04,20,"CODO A 90° 1 CPVC""",6.0000,6.0000,0.0000,5.7600,41.7600,6.00,"562949960680741","Ramón Arturo Méndez Gomez ""El Unicornio"""
2024-04-04,20,"CODO A 45° 1"" CPVC",5.0000,9.5000,0.0000,7.6000,55.1000,5.00,"562949960680741","Ramón Arturo Méndez Gomez ""El Unicornio"""
2024-04-04,20,"VALVULA DE LLENADO PARA CISTERNA DE 3/4"" CON REDUCCIÓN DE 1/2""",1.0000,150.0000,0.0000,24.0000,174.0000,1.00,"562949960680741","Ramón Arturo Méndez Gomez ""El Unicornio"""
2024-04-04,20,"CONECTOR MACHO DE 1"" CON INSERTO METÁLICO CPVC",2.0000,82.0000,0.0000,26.2400,190.2400,2.00,"562949960680741","Ramón Arturo Méndez Gomez ""El Unicornio"""
2024-04-03,10,CABLE CALIBRE 14 COLOR ROJO,200.0000,5.2600,0.0000,168.2700,1219.9700,200.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-03,11,ESPEJO L-LED L-150 MCA. CASTEL,1.0000,5800.0000,0.0000,928.0000,6728.0000,1.00,"562949962558840",MANTENIMIENTOS Y ACABADOS DEL GOLFO SA DE CV
2024-04-05,27,"REDUCCIÓN BUSHIN DE LATÓN 3/4""-1/2""",2.0000,13.6500,0.0000,4.3700,31.6700,2.00,"562949962094252",HOME DEPOT MEXICO S DE RL DE CV
2024-04-05,27,LIJA 1500,5.0000,13.9400,0.0000,11.1500,80.8500,5.00,"562949962094252",HOME DEPOT MEXICO S DE RL DE CV
2024-04-05,27,CABLE DE USO RUDO 3X12,4.0000,35.5400,0.0000,22.7500,164.9100,4.00,"562949962094252",HOME DEPOT MEXICO S DE RL DE CV
2024-04-05,26,PEGAMENTO PARA CPVC HIDRÁULICO SECADO RAPIDO BOTE 750 Ml,2.0000,162.0000,0.0000,51.8400,375.8400,2.00,"562949960680741","Ramón Arturo Méndez Gomez ""El Unicornio"""
2024-04-05,26,"CONECTOR MACHO DE 1"" CON INSERTO METÁLICO CPVC",3.0000,82.0000,0.0000,39.3600,285.3600,3.00,"562949960680741","Ramón Arturo Méndez Gomez ""El Unicornio"""
2024-04-05,26,"TUBERIA CPVC 1/2""",1.0000,30.0000,0.0000,4.8000,34.8000,1.00,"562949960680741","Ramón Arturo Méndez Gomez ""El Unicornio"""
2024-04-05,26,NIPLE LATON 1/4″ NPTM X 1/4″ NPTM,2.0000,17.0000,0.0000,5.4400,39.4400,2.00,"562949960680741","Ramón Arturo Méndez Gomez ""El Unicornio"""
2024-04-05,26,MANÓMETRO,1.0000,155.0000,0.0000,24.8000,179.8000,1.00,"562949960680741","Ramón Arturo Méndez Gomez ""El Unicornio"""
2024-04-05,26,"CONECTOR HEMBRA DE 1""CON INSERTO METÁLICO CPVC",2.0000,123.0500,0.0000,39.3800,285.4800,2.00,"562949960680741","Ramón Arturo Méndez Gomez ""El Unicornio"""
2024-07-08,535,ESCOBA,2.0000,65.0000,0.0000,20.8000,150.8000,0.00,PROV1109,ORGANIZACION RG HERMANOS SA DE CV
2024-04-05,28,INTERRUPTORES TERMOMAGNÉTICOS 2 X20,1.0000,607.4200,18.2226,97.1900,686.3800,0.00,"562949960850953",COCOPESA DE LA RIVIERA SA DE CV
2024-04-05,28,INTERRUPTORES TERMOMAGNÉTICOS 2 X50,1.0000,607.4200,18.2226,97.1900,686.3800,0.00,"562949960850953",COCOPESA DE LA RIVIERA SA DE CV
2024-06-20,460,"BASTIDOR 4x1 3/4"" - 6.1 Ml - NOGAL",18.0000,1436.5712,6464.5704,3102.9938,22496.7050,0.00,PROV1080,TIENDAS CUPRUM SA DE CV
2024-06-20,460,"BASTIDOR 4x1 3/4"" - 6.1 mL -NEGRO",1.0000,1294.7600,323.6900,155.3712,1126.4412,0.00,PROV1080,TIENDAS CUPRUM SA DE CV
2024-04-08,39,LAVAMANOS MARMOL,1.0000,4200.0000,0.0000,672.0000,4872.0000,0.00,"562949961918804",LUIS MARTIN CORNEJO (PIEDRAS Y CANTERAS)
2024-04-08,43,MOTOBOMBA AQUPAK 1.5HP MOD. SILVER DE 115V,1.0000,2647.4100,0.0000,423.5900,3071.0000,0.00,"562949962363306",AQUAPISCINA Y SERVICIOS SA DE CV
2024-04-08,44,LAVAMANOS MARMOL,4.0000,4200.0000,0.0000,2688.0000,19488.0000,0.00,"562949961918804",LUIS MARTIN CORNEJO (PIEDRAS Y CANTERAS)
2024-10-02,915,"VENTILADOR BREEZE MADERA 56"" ",4.0000,5068.1200,0.0000,3243.5968,23516.0768,0.00,"562949962094252",HOME DEPOT MEXICO S DE RL DE CV
2024-04-05,24,TUERCA UNIÓN CPVC 3/4,2.0000,16.4800,0.0000,5.2700,38.2300,2.00,"562949960680741","Ramón Arturo Méndez Gomez ""El Unicornio"""
2024-04-05,24,"CODO A 90° 1 CPVC""",2.0000,6.0000,0.0000,1.9200,13.9200,2.00,"562949960680741","Ramón Arturo Méndez Gomez ""El Unicornio"""
2024-04-05,24,CABLE DE USO RUDO 3X10,2.0000,70.0000,0.0000,22.4000,162.4000,2.00,"562949960680741","Ramón Arturo Méndez Gomez ""El Unicornio"""
2024-04-05,24,"TAPON 3/4 HIDRAULICO"" ",1.0000,3.7500,0.0000,0.6000,4.3500,1.00,"562949960680741","Ramón Arturo Méndez Gomez ""El Unicornio"""
2024-04-05,24,"CONECTOR MACHO 3/4"" COBRE",1.0000,21.0000,0.0000,3.3600,24.3600,1.00,"562949960680741","Ramón Arturo Méndez Gomez ""El Unicornio"""
2024-04-05,24,"CODO A 90° 3/4"" CPVC",2.0000,3.8500,0.0000,1.2300,8.9300,2.00,"562949960680741","Ramón Arturo Méndez Gomez ""El Unicornio"""
2024-04-05,24,"TUERCA UNIÓN 3/4"" COBRE",1.0000,68.9100,0.0000,11.0300,79.9400,1.00,"562949960680741","Ramón Arturo Méndez Gomez ""El Unicornio"""
2024-04-05,24,"VALVULA ESFERA DE 3/4"" CPVC",2.0000,42.8200,0.0000,13.7000,99.3400,2.00,"562949960680741","Ramón Arturo Méndez Gomez ""El Unicornio"""
2024-04-05,24,"REDUCCION 1 - 3/4"" CPVC""",2.0000,6.2000,0.0000,1.9800,14.3800,2.00,"562949960680741","Ramón Arturo Méndez Gomez ""El Unicornio"""
2024-04-05,24,"TUBERIA CPVC 3/4""",3.0000,16.4000,0.0000,7.8700,57.0700,3.00,"562949960680741","Ramón Arturo Méndez Gomez ""El Unicornio"""
2024-04-05,24,"CODO 3/4""X90 COBRE",5.0000,16.0000,0.0000,12.8000,92.8000,5.00,"562949960680741","Ramón Arturo Méndez Gomez ""El Unicornio"""
2024-04-05,24,"CONECTOR HEMBRA 3/4"" CON INSERTO METÁLICO CPVC",2.0000,42.0000,0.0000,13.4400,97.4400,2.00,"562949960680741","Ramón Arturo Méndez Gomez ""El Unicornio"""
2024-04-05,24,"VALVULA DE ALIVIO 3/4"" LATÓN",1.0000,410.0000,0.0000,65.6000,475.6000,1.00,"562949960680741","Ramón Arturo Méndez Gomez ""El Unicornio"""
2024-04-08,50,CALIBRE 12 COLOR BLANCO,400.0000,6.4100,0.0000,409.9400,2972.0600,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-08,50,CALIBRE 14 COLOR VERDE,600.0000,5.2600,0.0000,504.8200,3659.9200,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-08,50,CALIBRE 10 COLOR NEGRO,200.0000,11.6200,0.0000,371.8700,2696.0700,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-08,50,CALIBRE 14 COLOR BLANCO,200.0000,5.2600,0.0000,168.2700,1219.9700,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-08,50,CALIBRE 12 COLOR VERDE,200.0000,6.4100,0.0000,204.9700,1486.0300,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-08,50,CALIBRE 14 COLOR NEGRO,300.0000,5.2600,0.0000,252.4100,1829.9600,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-08,50,CALIBRE 12 COLOR NEGRO,400.0000,6.4100,0.0000,409.9400,2972.0600,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-08,50,CALIBRE 6 COLOR BLANCO,100.0000,30.3600,0.0000,485.8300,3522.2800,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-08,50,CALIBRE 6 COLOR NEGRO,100.0000,30.3600,0.0000,485.8300,3522.2800,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-08,50,CALIBRE 10 COLOR BLANCO,200.0000,11.6200,0.0000,371.8700,2696.0700,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-08,51,CALIBRE 12 COLOR BLANCO,400.0000,6.4100,0.0000,409.9400,2972.0600,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-08,51,CALIBRE 14 COLOR VERDE,600.0000,5.2600,0.0000,504.8200,3659.9200,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-08,51,CALIBRE 10 COLOR NEGRO,200.0000,11.6200,0.0000,371.8700,2696.0700,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-08,51,CALIBRE 14 COLOR BLANCO,200.0000,5.2600,0.0000,168.2700,1219.9700,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-08,51,CALIBRE 12 COLOR VERDE,200.0000,6.4100,0.0000,204.9700,1486.0300,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-08,51,CALIBRE 14 COLOR NEGRO,300.0000,5.2600,0.0000,252.4100,1829.9600,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-08,51,CALIBRE 12 COLOR NEGRO,400.0000,6.4100,0.0000,409.9400,2972.0600,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-08,51,CALIBRE 6 COLOR BLANCO,100.0000,30.3600,0.0000,485.8300,3522.2800,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-08,51,CALIBRE 6 COLOR NEGRO,100.0000,30.3600,0.0000,485.8300,3522.2800,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-08,51,CALIBRE 10 COLOR BLANCO,200.0000,11.6200,0.0000,371.8700,2696.0700,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-08,42,TOPE DE PISO - ACERO INOXIDABLE SOLIDO,4.0000,81.2800,0.0000,52.0200,377.1400,4.00,"562949962551276",Productos Jako SA de CV
2024-04-05,38,FIBRA,4.0000,140.0000,0.0000,89.6000,649.6000,4.00,"562949961089521",CONCRETOS FORTEX SA DE CV
2024-04-05,37,FIBRA,4.0000,140.0000,0.0000,89.6000,649.6000,4.00,"562949961089521",CONCRETOS FORTEX SA DE CV
2024-04-05,37,CONCRETO PREMEZCLADO f´c= 200kg/cm2,4.0000,2680.0000,0.0000,1715.2000,12435.2000,4.00,"562949961089521",CONCRETOS FORTEX SA DE CV
2024-04-05,37,SERVICIO DE VACIO,1.0000,350.0000,0.0000,56.0000,406.0000,1.00,"562949961089521",CONCRETOS FORTEX SA DE CV
2024-04-05,36,FIBRA,4.0000,140.0000,0.0000,89.6000,649.6000,4.00,"562949961089521",CONCRETOS FORTEX SA DE CV
2024-04-05,36,CONCRETO PREMEZCLADO f´c= 200kg/cm2,4.0000,2800.0000,0.0000,1792.0000,12992.0000,4.00,"562949961089521",CONCRETOS FORTEX SA DE CV
2024-04-05,36,SERVICIO DE VACIO,1.0000,350.0000,0.0000,56.0000,406.0000,1.00,"562949961089521",CONCRETOS FORTEX SA DE CV
2024-04-05,35,BARNIZ SELLADOR ACRILICO KIMICOLOR 19L,1.0000,3346.2000,0.0000,535.3900,3881.5900,1.00,"562949961792756",MUROS Y PLAFONES DEL CARIBE SA DE CV
2024-04-05,35,ESTOPA,1.0000,25.0000,0.0000,4.0000,29.0000,1.00,"562949961792756",MUROS Y PLAFONES DEL CARIBE SA DE CV
2024-04-08,41,RETIRO DE ESCOMBRO,2.0000,2800.0000,0.0000,896.0000,6496.0000,2.00,"562949960976385",CELESTINO CASTRO VILLEGAS (DON ALBERTO)
2024-04-08,40,RETIRO DE ESCOMBRO,2.0000,2800.0000,0.0000,896.0000,6496.0000,2.00,"562949960976385",CELESTINO CASTRO VILLEGAS (DON ALBERTO)
2024-04-08,49,LAVAMANOS MARMOL,5.0000,4200.0000,0.0000,3360.0000,24360.0000,5.00,"562949961918804",LUIS MARTIN CORNEJO (PIEDRAS Y CANTERAS)
2024-04-08,48,LAVAMANOS MARMOL,5.0000,4200.0000,0.0000,3360.0000,24360.0000,5.00,"562949961918804",LUIS MARTIN CORNEJO (PIEDRAS Y CANTERAS)
2024-04-08,47,LAVAMANOS MARMOL,4.0000,4200.0000,0.0000,2688.0000,19488.0000,4.00,"562949961918804",LUIS MARTIN CORNEJO (PIEDRAS Y CANTERAS)
2024-04-08,46,LAVAMANOS MARMOL,5.0000,4200.0000,0.0000,3360.0000,24360.0000,3.00,"562949961918804",LUIS MARTIN CORNEJO (PIEDRAS Y CANTERAS)
2024-04-09,53,"DECK MADERA EXTERIOR PREMIUM, WPC COLOR IPE*DOBLE VISTA (.14X2.20MTS)",123.0000,294.4100,0.0000,5793.9100,42005.8500,0.00,"562949962551289",CHAPAS Y MADERAS IMPORTADAS S.A DE C.V.
2024-06-20,461,MONOMANDO DE PARED LAVABO DUBLIN MCA. INTERCERAMIC,1.0000,3094.8300,0.0000,495.1728,3590.0028,0.00,"562949961739400",DISTRIBUIDORA DE CERAMICA CANCUN S.A. DE C.V
2024-06-27,484,RETIRO DE ESCOMBRO,5.0000,2800.0000,0.0000,2240.0000,16240.0000,0.00,"562949960976385",CELESTINO CASTRO VILLEGAS (DON ALBERTO)
2024-07-01,504,"TZALAM 4 X 1 3/4"" x 2.10 MTS",37.0000,380.0000,0.0000,2249.6000,16309.6000,0.00,"562949960972522",SANTIAGO MARTINEZ LABASTIDA (MADERERIA SAN MARCOS)
2024-07-04,519,SERVICIO DE ALIMENTOS,1.0000,8535.0258,0.0000,1365.6041,9900.6299,0.00,PROV1020,MARIA GUADALUPE LIZAMA ARGAEZ
2024-07-04,521,SERVICIO DE ALIMENTOS,1.0000,7186.7155,0.0000,1149.8745,8336.5900,0.00,PROV1020,MARIA GUADALUPE LIZAMA ARGAEZ
2024-07-05,531,COLADERA UNIVERSAL ,1.0000,772.3900,0.0000,123.5824,895.9724,0.00,PROV1062,FERRETERA DELFIN SA DE CV
2024-07-05,532,COLADERA MARCA HELVEX MOD 342 CL,4.0000,866.3800,0.0000,554.4832,4020.0032,0.00,"562949960850953",COCOPESA DE LA RIVIERA SA DE CV
2024-07-08,535, CLORO 1 GAL,1.0000,55.0000,0.0000,8.8000,63.8000,0.00,PROV1109,ORGANIZACION RG HERMANOS SA DE CV
2024-07-08,535,TOALLA MICROFIBRA ,10.0000,21.5000,0.0000,34.4000,249.4000,0.00,PROV1109,ORGANIZACION RG HERMANOS SA DE CV
2024-04-09,57,"DECK MADERA EXTERIOR PREMIUM, WPC COLOR IPE*DOBLE VISTA (.14X2.20MTS)",31.1100,957.1961,0.0000,4747.6927,34420.7718,0.00,"562949962228254",MADERA Y EXTERIORES DE JARDIN
2024-04-10,60,CALIBRE 14 COLOR NEGRO,300.0000,5.2585,0.0000,252.4080,1829.9580,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-10,60,CALIBRE 12 COLOR NEGRO,400.0000,6.4053,0.0000,409.9392,2972.0592,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-10,60,CALIBRE 6 COLOR BLANCO,100.0000,30.3645,0.0000,485.8320,3522.2820,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-10,60,CALIBRE 12 COLOR BLANCO,400.0000,6.4053,0.0000,409.9392,2972.0592,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-10,60,CALIBRE 14 COLOR BLANCO,200.0000,5.2585,0.0000,168.2720,1219.9720,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-10,60,CALIBRE 12 COLOR VERDE,150.0000,6.4053,0.0000,153.7272,1114.5222,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-10,60,CALIBRE 6 COLOR NEGRO,100.0000,30.3645,0.0000,485.8320,3522.2820,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-10,60,CALIBRE 10 COLOR BLANCO,200.0000,11.6210,0.0000,371.8720,2696.0720,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-10,60,CALIBRE 14 COLOR VERDE,600.0000,5.2585,0.0000,504.8160,3659.9160,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-10,60,CALIBRE 10 COLOR NEGRO,200.0000,11.6210,0.0000,371.8720,2696.0720,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-10,61,CALIBRE 12 COLOR BLANCO,400.0000,6.4053,0.0000,409.9392,2972.0592,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-10,61,CALIBRE 14 COLOR VERDE,600.0000,5.2585,0.0000,504.8160,3659.9160,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-10,61,CALIBRE 10 COLOR NEGRO,200.0000,11.6210,0.0000,371.8720,2696.0720,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-10,61,CALIBRE 14 COLOR BLANCO,200.0000,5.2585,0.0000,168.2720,1219.9720,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-10,61,CALIBRE 12 COLOR VERDE,200.0000,6.4053,0.0000,204.9696,1486.0296,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-10,61,CALIBRE 14 COLOR NEGRO,300.0000,5.2585,0.0000,252.4080,1829.9580,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-10,61,CALIBRE 12 COLOR NEGRO,400.0000,6.4053,0.0000,409.9392,2972.0592,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-10,61,CALIBRE 6 COLOR BLANCO,100.0000,30.3645,0.0000,485.8320,3522.2820,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-10,61,CALIBRE 6 COLOR NEGRO,100.0000,30.3645,0.0000,485.8320,3522.2820,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-10,61,CALIBRE 10 COLOR BLANCO,200.0000,11.6210,0.0000,371.8720,2696.0720,0.00,"562949961632456",ELECTRICA Y PLOMERIA SILVA
2024-04-10,62,"DECK MADERA EXTERIOR PREMIUM, WPC COLOR IPE*DOBLE VISTA (.14X2.20MTS)",37.8800,955.9648,0.0000,5659.3116,41030.0092,0.00,"562949962228254",MADERA Y EXTERIORES DE JARDIN
2024-04-11,64,"ANDAMIOS DE 2 X 1.20 MTS EN ACERO, CEDULA 30 DE 2 PULGADAS, INCLUYE CRUCETAS Y COPLES",15.0000,4100.0000,0.0000,9840.0000,71340.0000,0.00,PROV1037,AM ANDAMIOS Y MAQUINARIA LIGERA
2024-04-11,64,RUEDA PARA ANDAMIOS,12.0000,480.0000,0.0000,921.6000,6681.6000,0.00,PROV1037,AM ANDAMIOS Y MAQUINARIA LIGERA
2024-04-11,66,CONCRETO PREMEZCLADO f´c= 250kg/cm2,11.5000,2890.0000,0.0000,5086.4000,36876.4000,0.00,"562949961089521",CONCRETOS FORTEX SA DE CV
2024-04-11,66,BOMBA PLUMA,15.0000,280.0000,0.0000,672.0000,4872.0000,0.00,"562949961089521",CONCRETOS FORTEX SA DE CV
2024-04-12,67,CONCRETO PREMEZCLADO f´c= 250kg/cm2,11.5000,2890.0000,0.0000,5317.6000,38552.6000,0.00,"562949961089521",CONCRETOS FORTEX SA DE CV
